row_type,setting,instance,run,seed,iterations,cost,tardiness,makespan,runtime,feasible,average_cost,best_cost,std_cost
run,short,PSSAI_PMS_j10_m3_r2_3,2,2,5000,4009,1710,2299,0.899,True,,,
run,short,PSSAI_PMS_j10_m3_r2_3,3,3,5000,4009,1710,2299,0.925,True,,,
run,short,PSSAI_PMS_j10_m3_r2_3,4,4,5000,4009,1710,2299,0.949,True,,,
run,short,PSSAI_PMS_j10_m3_r2_3,5,5,5000,4009,1710,2299,0.936,True,,,
summary,short,PSSAI_PMS_j10_m3_r2_3,,,5000,,,,,,4009.000,4009,0.000
run,default,PSSAI_PMS_j10_m3_r2_3,1,1,10000,4009,1710,2299,1.894,True,,,
run,default,PSSAI_PMS_j10_m3_r2_3,2,2,10000,4009,1710,2299,1.829,True,,,
run,default,PSSAI_PMS_j10_m3_r2_3,3,3,10000,4009,1710,2299,1.898,True,,,
run,default,PSSAI_PMS_j10_m3_r2_3,4,4,10000,4009,1710,2299,1.849,True,,,
run,default,PSSAI_PMS_j10_m3_r2_3,5,5,10000,4009,1710,2299,1.897,True,,,
summary,default,PSSAI_PMS_j10_m3_r2_3,,,10000,,,,,,4009.000,4009,0.000
run,hot,PSSAI_PMS_j10_m3_r2_3,1,1,10000,4009,1710,2299,1.935,True,,,
run,hot,PSSAI_PMS_j10_m3_r2_3,2,2,10000,4009,1710,2299,1.862,True,,,
run,hot,PSSAI_PMS_j10_m3_r2_3,3,3,10000,4009,1710,2299,1.905,True,,,
run,hot,PSSAI_PMS_j10_m3_r2_3,4,4,10000,4009,1710,2299,1.876,True,,,
run,hot,PSSAI_PMS_j10_m3_r2_3,5,5,10000,4009,1710,2299,1.854,True,,,
summary,hot,PSSAI_PMS_j10_m3_r2_3,,,10000,,,,,,4009.000,4009,0.000
run,short,PSSAI_PMS_j10_m4_r1_4,1,1,5000,14602,9396,5206,0.738,True,,,
run,short,PSSAI_PMS_j10_m4_r1_4,2,2,5000,14602,9396,5206,0.740,True,,,
run,short,PSSAI_PMS_j10_m4_r1_4,3,3,5000,14602,9396,5206,0.763,True,,,
run,short,PSSAI_PMS_j10_m4_r1_4,4,4,5000,14602,9396,5206,0.696,True,,,
run,short,PSSAI_PMS_j10_m4_r1_4,5,5,5000,14602,9396,5206,0.705,True,,,
summary,short,PSSAI_PMS_j10_m4_r1_4,,,5000,,,,,,14602.000,14602,0.000
run,default,PSSAI_PMS_j10_m4_r1_4,1,1,10000,14602,9396,5206,1.465,True,,,
run,default,PSSAI_PMS_j10_m4_r1_4,2,2,10000,14602,9396,5206,1.447,True,,,
run,default,PSSAI_PMS_j10_m4_r1_4,3,3,10000,14602,9396,5206,1.446,True,,,
run,default,PSSAI_PMS_j10_m4_r1_4,4,4,10000,14602,9396,5206,1.438,True,,,
run,default,PSSAI_PMS_j10_m4_r1_4,5,5,10000,14602,9396,5206,1.418,True,,,
summary,default,PSSAI_PMS_j10_m4_r1_4,,,10000,,,,,,14602.000,14602,0.000
run,hot,PSSAI_PMS_j10_m4_r1_4,1,1,10000,14602,9396,5206,1.505,True,,,
run,hot,PSSAI_PMS_j10_m4_r1_4,2,2,10000,14602,9396,5206,1.522,True,,,
run,hot,PSSAI_PMS_j10_m4_r1_4,3,3,10000,14602,9396,5206,1.529,True,,,
run,hot,PSSAI_PMS_j10_m4_r1_4,4,4,10000,14602,9396,5206,1.553,True,,,
run,hot,PSSAI_PMS_j10_m4_r1_4,5,5,10000,14602,9396,5206,1.477,True,,,
summary,hot,PSSAI_PMS_j10_m4_r1_4,,,10000,,,,,,14602.000,14602,0.000
